행정구역,2026년04월_거주자_총인구수,2026년04월_거주자_연령구간인구수,2026년04월_거주자_0세,2026년04월_거주자_1세,2026년04월_거주자_2세,2026년04월_거주자_3세,2026년04월_거주자_4세,2026년04월_거주자_5세,2026년04월_거주자_6세,2026년04월_거주자_7세,2026년04월_거주자_8세,2026년04월_거주자_9세,2026년04월_거주자_10세,2026년04월_거주자_11세,2026년04월_거주자_12세,2026년04월_거주자_13세,2026년04월_거주자_14세,2026년04월_거주자_15세,2026년04월_거주자_16세,2026년04월_거주자_17세,2026년04월_거주자_18세,2026년04월_거주자_19세,2026년04월_거주자_20세,2026년04월_거주자_21세,2026년04월_거주자_22세,2026년04월_거주자_23세,2026년04월_거주자_24세,2026년04월_거주자_25세,2026년04월_거주자_26세,2026년04월_거주자_27세,2026년04월_거주자_28세,2026년04월_거주자_29세,2026년04월_거주자_30세,2026년04월_거주자_31세,2026년04월_거주자_32세,2026년04월_거주자_33세,2026년04월_거주자_34세,2026년04월_거주자_35세,2026년04월_거주자_36세,2026년04월_거주자_37세,2026년04월_거주자_38세,2026년04월_거주자_39세,2026년04월_거주자_40세,2026년04월_거주자_41세,2026년04월_거주자_42세,2026년04월_거주자_43세,2026년04월_거주자_44세,2026년04월_거주자_45세,2026년04월_거주자_46세,2026년04월_거주자_47세,2026년04월_거주자_48세,2026년04월_거주자_49세,2026년04월_거주자_50세,2026년04월_거주자_51세,2026년04월_거주자_52세,2026년04월_거주자_53세,2026년04월_거주자_54세,2026년04월_거주자_55세,2026년04월_거주자_56세,2026년04월_거주자_57세,2026년04월_거주자_58세,2026년04월_거주자_59세,2026년04월_거주자_60세,2026년04월_거주자_61세,2026년04월_거주자_62세,2026년04월_거주자_63세,2026년04월_거주자_64세,2026년04월_거주자_65세,2026년04월_거주자_66세,2026년04월_거주자_67세,2026년04월_거주자_68세,2026년04월_거주자_69세,2026년04월_거주자_70세,2026년04월_거주자_71세,2026년04월_거주자_72세,2026년04월_거주자_73세,2026년04월_거주자_74세,2026년04월_거주자_75세,2026년04월_거주자_76세,2026년04월_거주자_77세,2026년04월_거주자_78세,2026년04월_거주자_79세,2026년04월_거주자_80세,2026년04월_거주자_81세,2026년04월_거주자_82세,2026년04월_거주자_83세,2026년04월_거주자_84세,2026년04월_거주자_85세,2026년04월_거주자_86세,2026년04월_거주자_87세,2026년04월_거주자_88세,2026년04월_거주자_89세,2026년04월_거주자_90세,2026년04월_거주자_91세,2026년04월_거주자_92세,2026년04월_거주자_93세,2026년04월_거주자_94세,2026년04월_거주자_95세,2026년04월_거주자_96세,2026년04월_거주자_97세,2026년04월_거주자_98세,2026년04월_거주자_99세,2026년04월_거주자_100세 이상
서울특별시  (1100000000),"9,233,066","9,233,066","45,992","41,378","36,896","38,990","41,469","42,759","45,749","49,524","53,013","59,515","65,759","66,922","66,051","72,714","71,669","73,583","68,613","71,481","80,427","79,948","79,689","87,586","98,630","102,823","115,537","139,984","145,421","148,451","157,455","160,016","164,545","163,315","161,032","162,168","156,785","140,852","133,813","130,612","123,613","123,128","124,374","121,654","133,505","140,576","147,750","145,022","144,889","129,209","129,588","128,518","131,868","139,488","148,766","151,296","156,062","155,939","149,392","150,236","135,404","128,695","131,267","132,264","121,040","137,401","131,042","145,597","138,513","128,034","124,157","115,557","112,543","114,707","89,970","92,524","76,822","69,488","74,817","70,648","70,885","67,428","47,423","48,898","45,972","50,830","45,476","33,932","30,347","26,738","21,572","18,273","14,985","11,770","8,737","6,527","4,924","3,460","2,691","2,056","1,378",890,"1,345"
서울특별시 종로구 (1111000000),"135,081","135,081",444,454,396,415,485,476,526,520,602,687,752,754,775,932,857,938,838,939,"1,146","1,218","1,190","1,410","1,619","1,722","1,982","2,328","2,447","2,397","2,419","2,415","2,373","2,312","2,230","2,270","2,104","1,927","1,720","1,670","1,606","1,546","1,626","1,658","1,763","1,817","1,940","1,906","1,932","1,722","1,692","1,753","1,795","1,986","2,185","2,199","2,391","2,517","2,418","2,322","2,239","2,117","2,078","2,129","2,036","2,279","2,087","2,337","2,084","1,947","1,853","1,784","1,707","1,746","1,269","1,395","1,145",953,"1,136","1,030","1,143","1,069",793,895,788,876,829,654,606,556,440,364,304,236,202,139,108,84,50,49,24,30,28
서울특별시 중구 (1114000000),"116,427","116,427",612,494,418,480,468,478,426,436,468,560,538,507,536,532,561,533,528,528,748,801,831,951,"1,242","1,203","1,476","1,699","1,873","1,924","2,064","2,215","2,286","2,322","2,390","2,403","2,324","2,071","1,960","1,897","1,806","1,656","1,638","1,632","1,724","1,730","1,662","1,661","1,668","1,360","1,443","1,412","1,379","1,568","1,661","1,739","1,928","1,929","1,923","1,932","1,742","1,615","1,673","1,785","1,654","1,855","1,709","2,005","1,773","1,752","1,705","1,597","1,585","1,615","1,204","1,217","1,035",946,"1,045",956,986,971,681,712,687,754,758,535,498,451,333,318,260,199,166,117,74,60,48,44,33,21,19
서울특별시 용산구 (1117000000),"197,183","197,183","1,095",988,839,933,867,924,"1,000",975,994,"1,117","1,170","1,178","1,133","1,250","1,239","1,246","1,183","1,270","1,401","1,472","1,491","1,818","1,931","1,995","2,280","2,754","3,007","3,181","3,407","3,773","3,944","4,141","4,027","4,188","4,033","3,770","3,421","3,229","2,984","2,915","3,034","2,776","2,933","3,076","3,063","3,057","2,964","2,428","2,605","2,428","2,643","2,872","3,027","3,159","3,440","3,429","3,321","3,201","3,066","2,640","2,822","2,841","2,730","2,919","2,849","2,933","2,814","2,572","2,575","2,316","2,234","2,142","1,818","1,713","1,393","1,346","1,427","1,369","1,364","1,218",979,"1,015",974,"1,098","1,023",788,720,685,611,515,402,331,256,165,167,95,77,55,37,20,50
서울특별시 성동구 (1120000000),"272,909","272,909","1,901","1,694","1,402","1,373","1,537","1,474","1,463","1,522","1,560","1,697","1,638","1,708","1,533","1,623","1,572","1,589","1,502","1,673","2,088","2,321","2,438","2,661","3,033","3,251","3,539","4,356","4,433","4,348","4,757","4,613","4,864","5,014","5,005","5,372","5,194","4,826","4,724","4,579","4,416","4,164","4,154","3,949","4,147","4,258","4,280","4,073","3,885","3,462","3,463","3,475","3,574","3,861","4,281","4,356","4,505","4,707","4,530","4,454","4,154","3,766","3,983","3,908","3,602","4,057","3,926","4,260","3,942","3,669","3,446","3,262","3,046","3,017","2,452","2,436","1,979","1,908","2,028","1,869","1,927","1,887","1,336","1,398","1,370","1,508","1,297","1,004",920,767,684,566,442,344,240,190,140,94,73,48,32,34,27
서울특별시 광진구 (1121500000),"328,723","328,723","1,349","1,190","1,087","1,091","1,181","1,266","1,390","1,524","1,489","1,765","1,983","2,008","2,126","2,255","2,269","2,301","2,160","2,309","2,661","2,807","2,888","3,488","4,178","4,503","5,049","6,395","6,635","6,885","7,040","7,156","7,240","6,837","6,717","6,505","5,996","5,139","4,988","4,641","4,391","4,238","4,413","4,082","4,532","4,800","4,888","4,868","4,829","4,309","4,345","4,333","4,331","4,680","4,943","5,149","5,393","5,406","5,242","5,273","4,901","4,742","4,698","4,683","4,181","5,013","4,602","5,010","4,828","4,404","4,181","3,842","3,769","3,684","2,877","3,042","2,452","2,195","2,249","2,275","2,296","2,140","1,493","1,556","1,487","1,607","1,434","1,126","1,003",843,703,575,494,382,314,189,165,93,88,58,42,32,39
서울특별시 동대문구 (1123000000),"349,491","349,491","2,042","1,753","1,614","1,685","1,581","1,690","1,785","1,760","1,883","1,995","2,177","2,138","2,021","2,276","2,134","2,202","2,080","2,187","2,893","3,279","3,663","4,210","5,107","5,457","5,977","6,609","6,227","6,036","6,131","5,944","6,047","6,134","5,965","6,119","5,923","5,458","5,204","5,006","4,719","4,807","4,531","4,559","4,890","5,232","5,259","5,118","4,978","4,502","4,411","4,379","4,546","4,899","5,173","5,448","5,613","5,716","5,475","5,486","4,897","4,831","4,882","4,895","4,410","4,972","4,930","5,436","5,150","4,794","4,695","4,344","4,209","4,298","3,369","3,500","2,908","2,631","2,746","2,673","2,761","2,612","1,943","1,958","1,898","2,181","1,834","1,411","1,239","1,081",864,762,579,462,342,262,176,120,101,76,46,30,50
서울특별시 중랑구 (1126000000),"374,803","374,803","1,790","1,617","1,425","1,544","1,485","1,407","1,529","1,683","1,782","1,999","2,151","2,065","2,106","2,284","2,310","2,300","2,218","2,367","2,531","2,612","2,560","2,853","3,347","3,478","4,109","4,978","5,216","5,438","6,081","6,210","6,584","6,670","6,690","6,675","6,447","5,627","5,310","5,262","4,919","4,710","4,807","4,631","4,905","5,223","5,465","5,448","5,475","4,685","4,748","4,628","4,861","5,199","5,851","5,971","6,264","6,550","6,415","6,838","6,428","6,262","6,304","6,448","5,873","6,932","6,592","7,307","6,886","6,191","5,989","5,511","5,310","5,486","4,212","4,263","3,610","3,122","3,402","3,195","3,147","3,068","2,073","2,196","2,063","2,355","2,116","1,451","1,422","1,147",921,769,612,501,371,260,193,142,108,79,65,33,55
서울특별시 성북구 (1129000000),"419,853","419,853","2,011","1,901","1,746","1,776","1,959","2,043","2,109","2,374","2,435","2,802","3,100","3,026","2,969","3,243","3,297","3,392","3,147","3,301","4,134","4,556","4,791","5,540","6,252","6,325","6,506","7,103","6,660","6,298","6,352","6,237","6,090","6,076","5,963","6,163","5,958","5,446","5,301","5,359","5,194","5,173","5,361","5,291","5,842","6,076","6,412","6,303","6,345","5,763","5,629","5,731","6,130","6,678","7,309","7,319","7,684","7,625","7,358","7,187","6,437","6,028","5,977","5,987","5,458","5,992","5,777","6,528","6,079","5,602","5,633","5,016","5,012","5,052","3,954","4,125","3,330","3,050","3,442","3,254","3,270","3,169","2,221","2,370","2,332","2,578","2,381","1,761","1,595","1,373","1,103",881,765,610,390,315,258,185,129,114,61,47,61
서울특별시 강북구 (1130500000),"276,525","276,525",853,801,772,746,847,852,941,"1,018","1,243","1,307","1,417","1,484","1,547","1,721","1,778","1,868","1,706","1,890","2,132","2,259","2,350","2,677","3,029","3,112","3,340","3,732","3,866","3,706","3,856","3,966","3,844","3,851","3,858","3,790","3,753","3,163","3,087","3,040","2,837","2,881","2,932","3,010","3,348","3,684","3,817","3,898","3,951","3,589","3,562","3,669","3,921","4,291","4,750","4,875","5,249","5,180","5,019","5,155","4,780","4,523","4,650","4,683","4,343","4,907","4,677","5,354","5,250","4,668","4,533","4,252","4,139","4,343","3,363","3,442","3,058","2,721","3,018","2,970","2,927","2,752","1,974","2,138","2,026","2,267","2,115","1,502","1,303","1,140",921,776,605,431,339,224,171,113,99,90,52,23,43
